4,22
4,25
4,25
5,22
5,21
5,20
5,20
5,23
5,29
6,26
7,30
8,31
6,30
6,36
7,33
8,39
10,37
11,38
11,41
13,39
13,38
15,38
16,38
19,34
19,30
22,29
22,35
24,34
24,30
25,32
25,33
29,44
30,42
30,40
37,27
42,25
38,20
40,7
37,6
33,9
25,9
19,7
12,11
11,16
11,21
8,36
8,53
8,62
11,80
13,89
16,95
18,106
19,98
21,90
29,76
31,54
37,35
42,20
39,18
37,19
37,16
28,23
21,22
25,33
20,41
21,48
25,52
28,55
30,61
32,69
33,77
38,76
45,75
56,59
60,43
64,46
72,41
71,15
62,26
57,25
56,20
48,24
41,20
36,35
32,43
30,46
35,45
37,54
38,61
42,70
41,78
46,78
55,78
66,46
72,21
75,9
67,16
60,12
46,3
33,1
21,1
18,1
14,1
2,1
